Statistics for the A* algorithm

Current state: {'AA': 35, 'MS': 450, 'PL': 0, 'SOC': 685}
Current state: {'AA': 35, 'MS': 380, 'PL': 0, 'SOC': 685}
Current state: {'AA': 35, 'MS': 310, 'PL': 0, 'SOC': 685}
Current state: {'AA': 35, 'MS': 240, 'PL': 0, 'SOC': 685}
Current state: {'AA': 35, 'MS': 170, 'PL': 0, 'SOC': 685}
Current state: {'AA': 35, 'MS': 100, 'PL': 0, 'SOC': 685}
Current state: {'AA': 35, 'MS': 30, 'PL': 0, 'SOC': 685}
Current state: {'AA': 35, 'MS': 30, 'PL': 0, 'SOC': 615}
Current state: {'AA': 35, 'MS': 30, 'PL': 0, 'SOC': 545}
Current state: {'AA': 35, 'MS': 30, 'PL': 0, 'SOC': 475}
Current state: {'AA': 0, 'MS': 30, 'PL': 0, 'SOC': 475}
Current state: {'AA': 0, 'MS': 30, 'PL': 0, 'SOC': 440}
Current state: {'AA': 0, 'MS': 30, 'PL': 0, 'SOC': 405}
Current state: {'AA': 0, 'MS': 30, 'PL': 0, 'SOC': 370}
Current state: {'AA': 0, 'MS': 30, 'PL': 0, 'SOC': 335}
Current state: {'AA': 0, 'MS': 30, 'PL': 0, 'SOC': 300}
Current state: {'AA': 0, 'MS': 30, 'PL': 0, 'SOC': 265}
Current state: {'AA': 0, 'MS': 30, 'PL': 0, 'SOC': 230}
Current state: {'AA': 0, 'MS': 30, 'PL': 0, 'SOC': 195}
Current state: {'AA': 0, 'MS': 30, 'PL': 0, 'SOC': 160}
Current state: {'AA': 0, 'MS': 30, 'PL': 0, 'SOC': 125}
Current state: {'AA': 0, 'MS': 30, 'PL': 0, 'SOC': 90}
Current state: {'AA': 0, 'MS': 30, 'PL': 0, 'SOC': 55}
Current state: {'AA': 0, 'MS': 30, 'PL': 0, 'SOC': 20}
Current state: {'AA': 0, 'MS': 0, 'PL': 0, 'SOC': 20}
Final evaluation: True
Total iterations: 158
Total states: 183159
Final state constraints: 0
